------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 58234 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/17164)
[ ID] Interval       Transfer     Bandwidth
[  1] 75.0000-76.0000 sec  21.8 MBytes   182 Mbits/sec
[  1] 76.0000-77.0000 sec  21.5 MBytes   180 Mbits/sec
[  1] 77.0000-78.0000 sec  16.4 MBytes   137 Mbits/sec
[  1] 78.0000-79.0000 sec  21.2 MBytes   178 Mbits/sec
[  1] 79.0000-80.0000 sec  27.2 MBytes   229 Mbits/sec
[  1] 80.0000-81.0000 sec  21.8 MBytes   182 Mbits/sec
[  1] 81.0000-82.0000 sec  21.6 MBytes   181 Mbits/sec
[  1] 82.0000-83.0000 sec  21.8 MBytes   182 Mbits/sec
[  1] 83.0000-84.0000 sec  21.8 MBytes   182 Mbits/sec
[  1] 84.0000-85.0000 sec  27.1 MBytes   228 Mbits/sec
[  1] 85.0000-86.0000 sec  21.5 MBytes   180 Mbits/sec
[  1] 86.0000-87.0000 sec  27.0 MBytes   226 Mbits/sec
[  1] 87.0000-88.0000 sec  21.5 MBytes   180 Mbits/sec
[  1] 88.0000-89.0000 sec  22.1 MBytes   186 Mbits/sec
[  1] 89.0000-90.0000 sec  27.4 MBytes   230 Mbits/sec
[  1] 90.0000-91.0000 sec  21.5 MBytes   180 Mbits/sec
[  1] 91.0000-92.0000 sec  21.9 MBytes   184 Mbits/sec
[  1] 92.0000-93.0000 sec  21.5 MBytes   180 Mbits/sec
[  1] 93.0000-94.0000 sec  27.1 MBytes   228 Mbits/sec
[  1] 94.0000-95.0000 sec  21.6 MBytes   181 Mbits/sec
[  1] 95.0000-96.0000 sec  27.0 MBytes   226 Mbits/sec
[  1] 96.0000-97.0000 sec  21.8 MBytes   182 Mbits/sec
[  1] 97.0000-98.0000 sec  27.4 MBytes   230 Mbits/sec
[  1] 98.0000-99.0000 sec  22.1 MBytes   186 Mbits/sec
[  1] 99.0000-100.0000 sec  27.8 MBytes   233 Mbits/sec
[  1] 100.0000-101.0000 sec  21.9 MBytes   184 Mbits/sec
[  1] 101.0000-102.0000 sec  26.3 MBytes   221 Mbits/sec
[  1] 102.0000-103.0000 sec  27.2 MBytes   229 Mbits/sec
[  1] 103.0000-104.0000 sec  27.2 MBytes   229 Mbits/sec
[  1] 104.0000-105.0000 sec  32.6 MBytes   274 Mbits/sec
[  1] 105.0000-106.0000 sec  21.8 MBytes   182 Mbits/sec
[  1] 106.0000-107.0000 sec  32.2 MBytes   271 Mbits/sec
[  1] 107.0000-108.0000 sec  26.8 MBytes   224 Mbits/sec
[  1] 108.0000-109.0000 sec  22.4 MBytes   188 Mbits/sec
[  1] 109.0000-110.0000 sec  27.1 MBytes   228 Mbits/sec
[  1] 110.0000-111.0000 sec  21.9 MBytes   184 Mbits/sec
[  1] 111.0000-112.0000 sec  30.3 MBytes   255 Mbits/sec
[  1] 112.0000-113.0000 sec  27.4 MBytes   230 Mbits/sec
[  1] 113.0000-114.0000 sec  31.6 MBytes   265 Mbits/sec
[  1] 114.0000-115.0000 sec  28.2 MBytes   237 Mbits/sec
[  1] 115.0000-116.0000 sec  27.0 MBytes   226 Mbits/sec
[  1] 116.0000-117.0000 sec  21.6 MBytes   181 Mbits/sec
[  1] 117.0000-118.0000 sec  27.0 MBytes   226 Mbits/sec
[  1] 118.0000-119.0000 sec  27.1 MBytes   228 Mbits/sec
[  1] 119.0000-120.0000 sec  11.9 MBytes  99.4 Mbits/sec
[  1] 120.0000-120.6141 sec   128 KBytes  1.71 Mbits/sec
[  1] 0.0000-120.6141 sec  2.93 GBytes   209 Mbits/sec
