------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 45088 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/58955)
[ ID] Interval       Transfer     Bandwidth
[  1] 40.5000-41.0000 sec  4.08 MBytes  68.5 Mbits/sec
[  1] 41.0000-41.5000 sec  7.36 MBytes   123 Mbits/sec
[  1] 41.5000-42.0000 sec  6.33 MBytes   106 Mbits/sec
[  1] 42.0000-42.5000 sec  7.27 MBytes   122 Mbits/sec
[  1] 42.5000-43.0000 sec  6.59 MBytes   111 Mbits/sec
[  1] 43.0000-43.5000 sec  6.90 MBytes   116 Mbits/sec
[  1] 43.5000-44.0000 sec  7.76 MBytes   130 Mbits/sec
[  1] 44.0000-44.5000 sec  7.33 MBytes   123 Mbits/sec
[  1] 44.5000-45.0000 sec  4.10 MBytes  68.8 Mbits/sec
[  1] 45.0000-45.5000 sec  8.52 MBytes   143 Mbits/sec
[  1] 45.5000-46.0000 sec  6.83 MBytes   115 Mbits/sec
[  1] 46.0000-46.5000 sec  8.20 MBytes   138 Mbits/sec
[  1] 46.5000-47.0000 sec  7.40 MBytes   124 Mbits/sec
[  1] 47.0000-47.5000 sec  3.35 MBytes  56.2 Mbits/sec
[  1] 47.5000-48.0000 sec  7.15 MBytes   120 Mbits/sec
[  1] 48.0000-48.5000 sec  7.15 MBytes   120 Mbits/sec
[  1] 48.5000-49.0000 sec  7.27 MBytes   122 Mbits/sec
[  1] 49.0000-49.5000 sec  6.83 MBytes   115 Mbits/sec
[  1] 49.5000-50.0000 sec  7.83 MBytes   131 Mbits/sec
[  1] 50.0000-50.5000 sec  7.65 MBytes   128 Mbits/sec
[  1] 50.5000-51.0000 sec  4.16 MBytes  69.7 Mbits/sec
[  1] 51.0000-51.5000 sec  3.17 MBytes  53.2 Mbits/sec
[  1] 51.5000-52.0000 sec  2.65 MBytes  44.5 Mbits/sec
