------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 58152 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/18310)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.63 MBytes  13.6 Mbits/sec
[  1] 1.0000-2.0000 sec  1.38 MBytes  11.5 Mbits/sec
[  1] 2.0000-3.0000 sec  2.00 MBytes  16.8 Mbits/sec
[  1] 3.0000-4.0000 sec   128 KBytes  1.05 Mbits/sec
[  1] 4.0000-5.0000 sec   896 KBytes  7.34 Mbits/sec
[  1] 5.0000-6.0000 sec  2.55 MBytes  21.4 Mbits/sec
[  1] 6.0000-7.0000 sec  8.75 MBytes  73.4 Mbits/sec
[  1] 7.0000-8.0000 sec  4.37 MBytes  36.6 Mbits/sec
[  1] 8.0000-9.0000 sec  16.4 MBytes   137 Mbits/sec
[  1] 9.0000-10.0000 sec  14.4 MBytes   121 Mbits/sec
[  1] 10.0000-11.0000 sec  2.45 MBytes  20.6 Mbits/sec
[  1] 11.0000-12.0000 sec  1.62 MBytes  13.6 Mbits/sec
[  1] 12.0000-13.0000 sec  2.92 MBytes  24.5 Mbits/sec
[  1] 13.0000-14.0000 sec  4.11 MBytes  34.5 Mbits/sec
[  1] 14.0000-15.0000 sec  22.4 MBytes   188 Mbits/sec
[  1] 15.0000-16.0000 sec  21.5 MBytes   180 Mbits/sec
[  1] 16.0000-17.0000 sec  24.1 MBytes   202 Mbits/sec
[  1] 17.0000-18.0000 sec  27.2 MBytes   229 Mbits/sec
[  1] 18.0000-19.0000 sec  30.4 MBytes   255 Mbits/sec
[  1] 19.0000-20.0000 sec  31.6 MBytes   265 Mbits/sec
[  1] 20.0000-21.0000 sec  18.4 MBytes   154 Mbits/sec
[  1] 21.0000-22.0000 sec  9.88 MBytes  82.8 Mbits/sec
[  1] 22.0000-23.0000 sec  22.1 MBytes   186 Mbits/sec
[  1] 23.0000-24.0000 sec  22.1 MBytes   186 Mbits/sec
[  1] 24.0000-25.0000 sec  22.1 MBytes   186 Mbits/sec
