------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 46812 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/112581)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  5.00 MBytes  41.9 Mbits/sec
[  1] 1.0000-2.0000 sec  8.50 MBytes  71.3 Mbits/sec
[  1] 2.0000-3.0000 sec  10.0 MBytes  83.9 Mbits/sec
[  1] 3.0000-4.0000 sec  13.6 MBytes   114 Mbits/sec
[  1] 4.0000-5.0000 sec  15.2 MBytes   128 Mbits/sec
[  1] 5.0000-6.0000 sec  15.8 MBytes   132 Mbits/sec
[  1] 6.0000-7.0000 sec  13.1 MBytes   110 Mbits/sec
[  1] 7.0000-8.0000 sec  10.8 MBytes  90.2 Mbits/sec
[  1] 8.0000-9.0000 sec  11.4 MBytes  95.4 Mbits/sec
[  1] 9.0000-10.0000 sec  7.38 MBytes  61.9 Mbits/sec
[  1] 10.0000-11.0000 sec  8.62 MBytes  72.4 Mbits/sec
[  1] 11.0000-12.0000 sec  7.38 MBytes  61.9 Mbits/sec
[  1] 12.0000-13.0000 sec  8.62 MBytes  72.4 Mbits/sec
[  1] 13.0000-14.0000 sec  6.75 MBytes  56.6 Mbits/sec
[  1] 14.0000-15.0000 sec  7.75 MBytes  65.0 Mbits/sec
[  1] 15.0000-16.0000 sec  8.64 MBytes  72.5 Mbits/sec
[  1] 16.0000-17.0000 sec  9.22 MBytes  77.4 Mbits/sec
[  1] 17.0000-18.0000 sec  7.61 MBytes  63.9 Mbits/sec
[  1] 18.0000-19.0000 sec  7.83 MBytes  65.7 Mbits/sec
[  1] 19.0000-20.0000 sec  7.52 MBytes  63.1 Mbits/sec
[  1] 20.0000-21.0000 sec  5.21 MBytes  43.7 Mbits/sec
[  1] 21.0000-22.0000 sec  7.55 MBytes  63.4 Mbits/sec
[  1] 22.0000-23.0000 sec  6.56 MBytes  55.1 Mbits/sec
[  1] 23.0000-24.0000 sec  8.82 MBytes  74.0 Mbits/sec
[  1] 24.0000-25.0000 sec  7.27 MBytes  61.0 Mbits/sec
[  1] 25.0000-26.0000 sec  3.67 MBytes  30.8 Mbits/sec
[  1] 26.0000-27.0000 sec  6.65 MBytes  55.8 Mbits/sec
[  1] 27.0000-28.0000 sec  6.40 MBytes  53.7 Mbits/sec
[  1] 28.0000-29.0000 sec  7.15 MBytes  60.0 Mbits/sec
[  1] 29.0000-30.0000 sec  7.58 MBytes  63.6 Mbits/sec
[  1] 30.0000-31.0000 sec  7.39 MBytes  62.0 Mbits/sec
[  1] 31.0000-32.0000 sec  6.27 MBytes  52.6 Mbits/sec
[  1] 32.0000-33.0000 sec  6.71 MBytes  56.3 Mbits/sec
[  1] 33.0000-34.0000 sec  7.15 MBytes  60.0 Mbits/sec
[  1] 34.0000-35.0000 sec  6.27 MBytes  52.6 Mbits/sec
[  1] 35.0000-36.0000 sec  6.71 MBytes  56.3 Mbits/sec
[  1] 36.0000-37.0000 sec  6.83 MBytes  57.3 Mbits/sec
[  1] 37.0000-38.0000 sec  7.02 MBytes  58.9 Mbits/sec
[  1] 38.0000-39.0000 sec  6.34 MBytes  53.2 Mbits/sec
[  1] 39.0000-40.0000 sec  6.40 MBytes  53.7 Mbits/sec
[  1] 40.0000-41.0000 sec  7.02 MBytes  58.9 Mbits/sec
[  1] 41.0000-42.0000 sec  6.58 MBytes  55.2 Mbits/sec
[  1] 42.0000-43.0000 sec  3.36 MBytes  28.2 Mbits/sec
[  1] 43.0000-44.0000 sec  6.22 MBytes  52.2 Mbits/sec
[  1] 44.0000-45.0000 sec  6.58 MBytes  55.2 Mbits/sec
[  1] 45.0000-46.0000 sec  6.96 MBytes  58.4 Mbits/sec
[  1] 46.0000-47.0000 sec  6.77 MBytes  56.8 Mbits/sec
[  1] 47.0000-48.0000 sec  6.46 MBytes  54.2 Mbits/sec
[  1] 48.0000-49.0000 sec  7.21 MBytes  60.5 Mbits/sec
[  1] 49.0000-50.0000 sec  6.90 MBytes  57.9 Mbits/sec
