------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 44196 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/33849)
[ ID] Interval       Transfer     Bandwidth
[  1] 33.0000-33.5000 sec  6.33 MBytes   106 Mbits/sec
[  1] 33.5000-34.0000 sec  7.09 MBytes   119 Mbits/sec
[  1] 34.0000-34.5000 sec  3.85 MBytes  64.6 Mbits/sec
[  1] 34.5000-35.0000 sec  6.96 MBytes   117 Mbits/sec
[  1] 35.0000-35.5000 sec  6.53 MBytes   110 Mbits/sec
[  1] 35.5000-36.0000 sec  6.83 MBytes   115 Mbits/sec
[  1] 36.0000-36.5000 sec  7.02 MBytes   118 Mbits/sec
[  1] 36.5000-37.0000 sec  7.77 MBytes   130 Mbits/sec
[  1] 37.0000-37.5000 sec  6.71 MBytes   113 Mbits/sec
[  1] 37.5000-38.0000 sec  6.90 MBytes   116 Mbits/sec
[  1] 38.0000-38.5000 sec  8.46 MBytes   142 Mbits/sec
[  1] 38.5000-39.0000 sec  6.52 MBytes   109 Mbits/sec
[  1] 39.0000-39.5000 sec  6.71 MBytes   113 Mbits/sec
[  1] 39.5000-40.0000 sec  6.90 MBytes   116 Mbits/sec
[  1] 40.0000-40.5000 sec  3.73 MBytes  62.6 Mbits/sec
[  1] 40.5000-41.0000 sec  6.34 MBytes   106 Mbits/sec
[  1] 41.0000-41.5000 sec  7.90 MBytes   133 Mbits/sec
[  1] 41.5000-42.0000 sec  7.02 MBytes   118 Mbits/sec
[  1] 42.0000-42.5000 sec  7.08 MBytes   119 Mbits/sec
[  1] 42.5000-43.0000 sec  4.52 MBytes  75.8 Mbits/sec
[  1] 43.0000-43.5000 sec  6.54 MBytes   110 Mbits/sec
[  1] 43.5000-44.0000 sec  6.65 MBytes   112 Mbits/sec
[  1] 44.0000-44.5000 sec  8.46 MBytes   142 Mbits/sec
[  1] 44.5000-45.0000 sec  8.26 MBytes   139 Mbits/sec
[  1] 45.0000-45.5000 sec  7.39 MBytes   124 Mbits/sec
[  1] 45.5000-46.0000 sec  7.27 MBytes   122 Mbits/sec
[  1] 46.0000-46.5000 sec  4.60 MBytes  77.2 Mbits/sec
[  1] 46.5000-47.0000 sec  8.26 MBytes   139 Mbits/sec
[  1] 47.0000-47.5000 sec  6.83 MBytes   115 Mbits/sec
[  1] 47.5000-48.0000 sec  3.35 MBytes  56.1 Mbits/sec
[  1] 48.0000-48.5000 sec  6.10 MBytes   102 Mbits/sec
[  1] 48.5000-49.0000 sec  5.73 MBytes  96.2 Mbits/sec
[  1] 49.0000-49.5000 sec  7.51 MBytes   126 Mbits/sec
[  1] 49.5000-50.0000 sec  4.10 MBytes  68.8 Mbits/sec
[  1] 50.0000-50.5000 sec  7.15 MBytes   120 Mbits/sec
[  1] 50.5000-51.0000 sec  7.33 MBytes   123 Mbits/sec
[  1] 51.0000-51.5000 sec  7.71 MBytes   129 Mbits/sec
[  1] 51.5000-52.0000 sec  8.21 MBytes   138 Mbits/sec
[  1] 52.0000-52.5000 sec  3.91 MBytes  65.7 Mbits/sec
[  1] 52.5000-53.0000 sec  8.20 MBytes   138 Mbits/sec
[  1] 53.0000-53.5000 sec  8.64 MBytes   145 Mbits/sec
[  1] 53.5000-54.0000 sec  6.39 MBytes   107 Mbits/sec
[  1] 54.0000-54.5000 sec  7.52 MBytes   126 Mbits/sec
[  1] 54.5000-55.0000 sec  3.66 MBytes  61.5 Mbits/sec
[  1] 55.0000-55.5000 sec  7.08 MBytes   119 Mbits/sec
[  1] 55.5000-56.0000 sec  7.83 MBytes   131 Mbits/sec
[  1] 56.0000-56.5000 sec  8.14 MBytes   137 Mbits/sec
[  1] 56.5000-57.0000 sec  6.34 MBytes   106 Mbits/sec
[  1] 57.0000-57.5000 sec  6.21 MBytes   104 Mbits/sec
[  1] 57.5000-58.0000 sec  7.59 MBytes   127 Mbits/sec
[  1] 58.0000-58.5000 sec  5.90 MBytes  98.9 Mbits/sec
[  1] 58.5000-59.0000 sec  5.40 MBytes  90.6 Mbits/sec
[  1] 59.0000-59.5000 sec  3.93 MBytes  65.9 Mbits/sec
[  1] 59.5000-60.0000 sec  8.14 MBytes   137 Mbits/sec
[  1] 60.0000-60.5000 sec  6.21 MBytes   104 Mbits/sec
[  1] 60.5000-61.0000 sec  7.27 MBytes   122 Mbits/sec
[  1] 61.0000-61.5000 sec  3.79 MBytes  63.5 Mbits/sec
[  1] 61.5000-62.0000 sec  7.33 MBytes   123 Mbits/sec
[  1] 62.0000-62.5000 sec  3.53 MBytes  59.3 Mbits/sec
[  1] 62.5000-63.0000 sec  4.29 MBytes  71.9 Mbits/sec
[  1] 63.0000-63.5000 sec  1.05 MBytes  17.6 Mbits/sec
[  1] 63.5000-64.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 64.0000-64.5000 sec  0.000 Bytes  0.000 bits/sec
[  1] 64.5000-65.0000 sec  5.59 MBytes  93.9 Mbits/sec
[  1] 65.0000-65.5000 sec  6.04 MBytes   101 Mbits/sec
[  1] 65.5000-66.0000 sec  1.42 MBytes  23.8 Mbits/sec
[  1] 66.0000-66.5000 sec  4.91 MBytes  82.4 Mbits/sec
[  1] 66.5000-67.0000 sec  3.54 MBytes  59.4 Mbits/sec
[  1] 67.0000-67.5000 sec  2.73 MBytes  45.8 Mbits/sec
[  1] 67.5000-68.0000 sec  1.92 MBytes  32.3 Mbits/sec
[  1] 68.0000-68.5000 sec  1.56 MBytes  26.1 Mbits/sec
[  1] 68.5000-69.0000 sec  2.24 MBytes  37.6 Mbits/sec
[  1] 69.0000-69.5000 sec  3.85 MBytes  64.6 Mbits/sec
[  1] 69.5000-70.0000 sec  4.60 MBytes  77.1 Mbits/sec
[  1] 70.0000-70.5000 sec  5.47 MBytes  91.8 Mbits/sec
[  1] 70.5000-71.0000 sec  5.15 MBytes  86.5 Mbits/sec
[  1] 71.0000-71.5000 sec  4.85 MBytes  81.3 Mbits/sec
[  1] 71.5000-72.0000 sec  2.80 MBytes  47.0 Mbits/sec
[  1] 72.0000-72.5000 sec  5.84 MBytes  98.0 Mbits/sec
[  1] 72.5000-73.0000 sec  5.03 MBytes  84.5 Mbits/sec
[  1] 73.0000-73.5000 sec  5.59 MBytes  93.8 Mbits/sec
[  1] 73.5000-74.0000 sec  4.65 MBytes  78.1 Mbits/sec
[  1] 74.0000-74.5000 sec  6.35 MBytes   107 Mbits/sec
[  1] 74.5000-75.0000 sec  3.23 MBytes  54.2 Mbits/sec
[  1] 75.0000-75.5000 sec  6.28 MBytes   105 Mbits/sec
[  1] 75.5000-76.0000 sec  6.09 MBytes   102 Mbits/sec
[  1] 76.0000-76.5000 sec  7.34 MBytes   123 Mbits/sec
[  1] 76.5000-77.0000 sec  6.34 MBytes   106 Mbits/sec
[  1] 77.0000-77.5000 sec  3.17 MBytes  53.1 Mbits/sec
[  1] 77.5000-78.0000 sec  4.78 MBytes  80.3 Mbits/sec
[  1] 78.0000-78.5000 sec  3.72 MBytes  62.5 Mbits/sec
[  1] 78.5000-79.0000 sec  5.60 MBytes  93.9 Mbits/sec
[  1] 79.0000-79.5000 sec  7.40 MBytes   124 Mbits/sec
[  1] 79.5000-80.0000 sec  3.92 MBytes  65.7 Mbits/sec
[  1] 80.0000-80.5000 sec  8.83 MBytes   148 Mbits/sec
[  1] 80.5000-81.0000 sec  7.82 MBytes   131 Mbits/sec
[  1] 81.0000-81.5000 sec  7.96 MBytes   133 Mbits/sec
[  1] 81.5000-82.0000 sec  5.84 MBytes  97.9 Mbits/sec
[  1] 82.0000-82.5000 sec  4.66 MBytes  78.1 Mbits/sec
[  1] 82.5000-83.0000 sec  4.23 MBytes  71.0 Mbits/sec
[  1] 83.0000-83.5000 sec  7.89 MBytes   132 Mbits/sec
[  1] 83.5000-84.0000 sec  6.58 MBytes   110 Mbits/sec
[  1] 84.0000-84.5000 sec  7.52 MBytes   126 Mbits/sec
[  1] 84.5000-85.0000 sec  4.17 MBytes  69.9 Mbits/sec
[  1] 85.0000-85.5000 sec  7.77 MBytes   130 Mbits/sec
[  1] 85.5000-86.0000 sec  8.02 MBytes   134 Mbits/sec
[  1] 86.0000-86.5000 sec  6.89 MBytes   116 Mbits/sec
[  1] 86.5000-87.0000 sec  6.59 MBytes   110 Mbits/sec
[  1] 87.0000-87.5000 sec  2.67 MBytes  44.8 Mbits/sec
[  1] 87.5000-88.0000 sec  6.15 MBytes   103 Mbits/sec
[  1] 88.0000-88.5000 sec  6.03 MBytes   101 Mbits/sec
[  1] 88.5000-89.0000 sec  6.40 MBytes   107 Mbits/sec
[  1] 89.0000-89.5000 sec  6.40 MBytes   107 Mbits/sec
[  1] 89.5000-90.0000 sec  7.77 MBytes   130 Mbits/sec
[  1] 90.0000-90.5000 sec  6.90 MBytes   116 Mbits/sec
[  1] 90.5000-91.0000 sec  3.29 MBytes  55.2 Mbits/sec
[  1] 91.0000-91.5000 sec  7.08 MBytes   119 Mbits/sec
[  1] 91.5000-92.0000 sec  6.34 MBytes   106 Mbits/sec
[  1] 92.0000-92.5000 sec  7.96 MBytes   134 Mbits/sec
[  1] 92.5000-93.0000 sec  6.33 MBytes   106 Mbits/sec
[  1] 93.0000-93.5000 sec  7.59 MBytes   127 Mbits/sec
[  1] 93.5000-94.0000 sec  6.39 MBytes   107 Mbits/sec
[  1] 94.0000-94.5000 sec  7.40 MBytes   124 Mbits/sec
[  1] 94.5000-95.0000 sec  4.21 MBytes  70.6 Mbits/sec
[  1] 95.0000-95.5000 sec  4.67 MBytes  78.4 Mbits/sec
[  1] 95.5000-96.0000 sec  5.47 MBytes  91.8 Mbits/sec
[  1] 96.0000-96.5000 sec  7.02 MBytes   118 Mbits/sec
[  1] 96.5000-97.0000 sec  7.27 MBytes   122 Mbits/sec
[  1] 97.0000-97.5000 sec  6.21 MBytes   104 Mbits/sec
[  1] 97.5000-98.0000 sec  7.33 MBytes   123 Mbits/sec
[  1] 98.0000-98.5000 sec  7.09 MBytes   119 Mbits/sec
[  1] 98.5000-99.0000 sec  3.48 MBytes  58.3 Mbits/sec
[  1] 99.0000-99.5000 sec  7.65 MBytes   128 Mbits/sec
[  1] 99.5000-100.0000 sec  6.40 MBytes   107 Mbits/sec
[  1] 100.0000-100.5000 sec  6.40 MBytes   107 Mbits/sec
[  1] 100.5000-101.0000 sec  7.34 MBytes   123 Mbits/sec
[  1] 101.0000-101.5000 sec  6.59 MBytes   111 Mbits/sec
[  1] 101.5000-102.0000 sec  3.60 MBytes  60.5 Mbits/sec
[  1] 102.0000-102.5000 sec  1.16 MBytes  19.5 Mbits/sec
[  1] 102.5000-103.0000 sec  12.9 MBytes   216 Mbits/sec
[  1] 103.0000-103.5000 sec  4.10 MBytes  68.8 Mbits/sec
[  1] 103.5000-104.0000 sec  7.33 MBytes   123 Mbits/sec
[  1] 104.0000-104.5000 sec  6.46 MBytes   108 Mbits/sec
[  1] 104.5000-105.0000 sec  7.33 MBytes   123 Mbits/sec
[  1] 105.0000-105.5000 sec  6.96 MBytes   117 Mbits/sec
[  1] 105.5000-106.0000 sec  4.11 MBytes  68.9 Mbits/sec
[  1] 106.0000-106.5000 sec  7.52 MBytes   126 Mbits/sec
[  1] 106.5000-107.0000 sec  7.77 MBytes   130 Mbits/sec
[  1] 107.0000-107.5000 sec  7.64 MBytes   128 Mbits/sec
[  1] 107.5000-108.0000 sec  3.67 MBytes  61.5 Mbits/sec
[  1] 108.0000-108.5000 sec  6.96 MBytes   117 Mbits/sec
[  1] 108.5000-109.0000 sec  2.71 MBytes  45.5 Mbits/sec
[  1] 109.0000-109.5000 sec  8.59 MBytes   144 Mbits/sec
[  1] 109.5000-110.0000 sec  6.35 MBytes   106 Mbits/sec
[  1] 110.0000-110.5000 sec  7.21 MBytes   121 Mbits/sec
[  1] 110.5000-111.0000 sec  6.71 MBytes   113 Mbits/sec
[  1] 111.0000-111.5000 sec  7.77 MBytes   130 Mbits/sec
[  1] 111.5000-112.0000 sec  3.66 MBytes  61.5 Mbits/sec
[  1] 112.0000-112.5000 sec  6.65 MBytes   112 Mbits/sec
[  1] 112.5000-113.0000 sec  6.77 MBytes   114 Mbits/sec
[  1] 113.0000-113.5000 sec  7.21 MBytes   121 Mbits/sec
[  1] 113.5000-114.0000 sec  6.58 MBytes   110 Mbits/sec
[  1] 114.0000-114.5000 sec  6.96 MBytes   117 Mbits/sec
[  1] 114.5000-115.0000 sec  6.84 MBytes   115 Mbits/sec
[  1] 115.0000-115.5000 sec  6.71 MBytes   113 Mbits/sec
[  1] 115.5000-116.0000 sec  4.10 MBytes  68.9 Mbits/sec
[  1] 116.0000-116.5000 sec  6.27 MBytes   105 Mbits/sec
[  1] 116.5000-117.0000 sec  6.71 MBytes   113 Mbits/sec
[  1] 117.0000-117.5000 sec  8.58 MBytes   144 Mbits/sec
[  1] 117.5000-118.0000 sec  6.27 MBytes   105 Mbits/sec
[  1] 118.0000-118.5000 sec  4.17 MBytes  70.0 Mbits/sec
[  1] 118.5000-119.0000 sec  6.89 MBytes   116 Mbits/sec
[  1] 119.0000-119.5000 sec  7.02 MBytes   118 Mbits/sec
[  1] 119.5000-120.0000 sec  7.52 MBytes   126 Mbits/sec
[  1] 120.0000-121.1660 sec  39.4 KBytes   277 Kbits/sec
[  1] 0.0000-121.1660 sec  1.48 GBytes   105 Mbits/sec
