------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 44196 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/33849)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-0.5000 sec  6.88 MBytes   115 Mbits/sec
[  1] 0.5000-1.0000 sec  5.50 MBytes  92.3 Mbits/sec
[  1] 1.0000-1.5000 sec  9.25 MBytes   155 Mbits/sec
[  1] 1.5000-2.0000 sec  8.25 MBytes   138 Mbits/sec
[  1] 2.0000-2.5000 sec  9.25 MBytes   155 Mbits/sec
[  1] 2.5000-3.0000 sec  9.50 MBytes   159 Mbits/sec
[  1] 3.0000-3.5000 sec  9.75 MBytes   164 Mbits/sec
[  1] 3.5000-4.0000 sec  10.0 MBytes   168 Mbits/sec
[  1] 4.0000-4.5000 sec  8.88 MBytes   149 Mbits/sec
[  1] 4.5000-5.0000 sec  9.00 MBytes   151 Mbits/sec
[  1] 5.0000-5.5000 sec  10.5 MBytes   176 Mbits/sec
[  1] 5.5000-6.0000 sec  9.38 MBytes   157 Mbits/sec
[  1] 6.0000-6.5000 sec  9.50 MBytes   159 Mbits/sec
[  1] 6.5000-7.0000 sec  8.38 MBytes   141 Mbits/sec
[  1] 7.0000-7.5000 sec  9.62 MBytes   161 Mbits/sec
[  1] 7.5000-8.0000 sec  8.38 MBytes   141 Mbits/sec
[  1] 8.0000-8.5000 sec  8.75 MBytes   147 Mbits/sec
[  1] 8.5000-9.0000 sec  6.12 MBytes   103 Mbits/sec
[  1] 9.0000-9.5000 sec  8.00 MBytes   134 Mbits/sec
[  1] 9.5000-10.0000 sec  6.88 MBytes   115 Mbits/sec
[  1] 10.0000-10.5000 sec  9.25 MBytes   155 Mbits/sec
[  1] 10.5000-11.0000 sec  5.88 MBytes  98.6 Mbits/sec
[  1] 11.0000-11.5000 sec  8.38 MBytes   141 Mbits/sec
[  1] 11.5000-12.0000 sec  6.75 MBytes   113 Mbits/sec
[  1] 12.0000-12.5000 sec  4.88 MBytes  81.8 Mbits/sec
[  1] 12.5000-13.0000 sec  5.12 MBytes  86.0 Mbits/sec
[  1] 13.0000-13.5000 sec  8.50 MBytes   143 Mbits/sec
[  1] 13.5000-14.0000 sec  6.12 MBytes   103 Mbits/sec
[  1] 14.0000-14.5000 sec  6.50 MBytes   109 Mbits/sec
[  1] 14.5000-15.0000 sec  7.00 MBytes   117 Mbits/sec
[  1] 15.0000-15.5000 sec  7.62 MBytes   128 Mbits/sec
[  1] 15.5000-16.0000 sec  8.18 MBytes   137 Mbits/sec
[  1] 16.0000-16.5000 sec  8.51 MBytes   143 Mbits/sec
[  1] 16.5000-17.0000 sec  5.77 MBytes  96.8 Mbits/sec
[  1] 17.0000-17.5000 sec  6.28 MBytes   105 Mbits/sec
[  1] 17.5000-18.0000 sec  5.84 MBytes  97.9 Mbits/sec
[  1] 18.0000-18.5000 sec  5.22 MBytes  87.6 Mbits/sec
[  1] 18.5000-19.0000 sec  4.48 MBytes  75.1 Mbits/sec
[  1] 19.0000-19.5000 sec  5.22 MBytes  87.6 Mbits/sec
[  1] 19.5000-20.0000 sec  2.92 MBytes  49.1 Mbits/sec
[  1] 20.0000-20.5000 sec  7.21 MBytes   121 Mbits/sec
[  1] 20.5000-21.0000 sec  6.83 MBytes   115 Mbits/sec
[  1] 21.0000-21.5000 sec  7.83 MBytes   131 Mbits/sec
[  1] 21.5000-22.0000 sec  6.21 MBytes   104 Mbits/sec
[  1] 22.0000-22.5000 sec  6.83 MBytes   115 Mbits/sec
[  1] 22.5000-23.0000 sec  4.02 MBytes  67.5 Mbits/sec
[  1] 23.0000-23.5000 sec  6.79 MBytes   114 Mbits/sec
[  1] 23.5000-24.0000 sec  6.78 MBytes   114 Mbits/sec
[  1] 24.0000-24.5000 sec  7.21 MBytes   121 Mbits/sec
[  1] 24.5000-25.0000 sec  7.57 MBytes   127 Mbits/sec
[  1] 25.0000-25.5000 sec   363 KBytes  5.94 Mbits/sec
[  1] 25.5000-26.0000 sec  10.8 MBytes   181 Mbits/sec
[  1] 26.0000-26.5000 sec  3.71 MBytes  62.2 Mbits/sec
[  1] 26.5000-27.0000 sec  9.16 MBytes   154 Mbits/sec
[  1] 27.0000-27.5000 sec  3.29 MBytes  55.2 Mbits/sec
[  1] 27.5000-28.0000 sec  7.96 MBytes   134 Mbits/sec
[  1] 28.0000-28.5000 sec  6.27 MBytes   105 Mbits/sec
[  1] 28.5000-29.0000 sec  7.46 MBytes   125 Mbits/sec
[  1] 29.0000-29.5000 sec  6.52 MBytes   109 Mbits/sec
[  1] 29.5000-30.0000 sec  7.83 MBytes   131 Mbits/sec
[  1] 30.0000-30.5000 sec  7.83 MBytes   131 Mbits/sec
[  1] 30.5000-31.0000 sec  4.46 MBytes  74.8 Mbits/sec
[  1] 31.0000-31.5000 sec  6.79 MBytes   114 Mbits/sec
[  1] 31.5000-32.0000 sec  5.53 MBytes  92.7 Mbits/sec
[  1] 32.0000-32.5000 sec  7.65 MBytes   128 Mbits/sec
[  1] 32.5000-33.0000 sec  8.20 MBytes   138 Mbits/sec
