------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.3 port 56020 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/58662)
[ ID] Interval       Transfer     Bandwidth
[  1] 19.5000-20.0000 sec  8.41 MBytes   141 Mbits/sec
[  1] 20.0000-20.5000 sec  7.18 MBytes   121 Mbits/sec
[  1] 20.5000-21.0000 sec  6.83 MBytes   115 Mbits/sec
[  1] 21.0000-21.5000 sec  6.46 MBytes   108 Mbits/sec
[  1] 21.5000-22.0000 sec   371 KBytes  6.07 Mbits/sec
[  1] 22.0000-22.5000 sec  10.6 MBytes   179 Mbits/sec
[  1] 22.5000-23.0000 sec  8.77 MBytes   147 Mbits/sec
[  1] 23.0000-23.5000 sec  7.01 MBytes   118 Mbits/sec
[  1] 23.5000-24.0000 sec  4.73 MBytes  79.4 Mbits/sec
[  1] 24.0000-24.5000 sec  9.20 MBytes   154 Mbits/sec
[  1] 24.5000-25.0000 sec  7.89 MBytes   132 Mbits/sec
[  1] 25.0000-25.5000 sec  10.1 MBytes   169 Mbits/sec
[  1] 25.5000-26.0000 sec  7.70 MBytes   129 Mbits/sec
[  1] 26.0000-26.5000 sec  4.48 MBytes  75.1 Mbits/sec
[  1] 26.5000-27.0000 sec  7.33 MBytes   123 Mbits/sec
[  1] 27.0000-27.5000 sec  8.70 MBytes   146 Mbits/sec
[  1] 27.5000-28.0000 sec  8.27 MBytes   139 Mbits/sec
[  1] 28.0000-28.5000 sec  8.08 MBytes   136 Mbits/sec
[  1] 28.5000-29.0000 sec  3.97 MBytes  66.7 Mbits/sec
[  1] 29.0000-29.5000 sec  8.27 MBytes   139 Mbits/sec
[  1] 29.5000-30.0000 sec  8.21 MBytes   138 Mbits/sec
[  1] 30.0000-30.5000 sec  8.01 MBytes   134 Mbits/sec
[  1] 30.5000-31.0000 sec  7.64 MBytes   128 Mbits/sec
[  1] 31.0000-31.5000 sec  5.10 MBytes  85.6 Mbits/sec
[  1] 31.5000-32.0000 sec  8.14 MBytes   137 Mbits/sec
[  1] 32.0000-32.5000 sec  8.76 MBytes   147 Mbits/sec
[  1] 32.5000-33.0000 sec  9.39 MBytes   158 Mbits/sec
[  1] 33.0000-33.5000 sec  8.39 MBytes   141 Mbits/sec
[  1] 33.5000-34.0000 sec  3.53 MBytes  59.3 Mbits/sec
[  1] 34.0000-34.5000 sec  10.6 MBytes   177 Mbits/sec
[  1] 34.5000-35.0000 sec  8.01 MBytes   134 Mbits/sec
[  1] 35.0000-35.5000 sec  8.07 MBytes   135 Mbits/sec
[  1] 35.5000-36.0000 sec  3.79 MBytes  63.7 Mbits/sec
[  1] 36.0000-36.5000 sec  8.58 MBytes   144 Mbits/sec
[  1] 36.5000-37.0000 sec   418 KBytes  6.85 Mbits/sec
[  1] 37.0000-37.5000 sec  11.1 MBytes   187 Mbits/sec
[  1] 37.5000-38.0000 sec  8.83 MBytes   148 Mbits/sec
[  1] 38.0000-38.5000 sec  6.83 MBytes   115 Mbits/sec
[  1] 38.5000-39.0000 sec  4.41 MBytes  74.1 Mbits/sec
[  1] 39.0000-39.5000 sec  7.58 MBytes   127 Mbits/sec
[  1] 39.5000-40.0000 sec  8.02 MBytes   135 Mbits/sec
[  1] 40.0000-40.5000 sec  8.08 MBytes   136 Mbits/sec
[  1] 40.5000-41.0000 sec  7.70 MBytes   129 Mbits/sec
[  1] 41.0000-41.5000 sec  8.08 MBytes   136 Mbits/sec
[  1] 41.5000-42.0000 sec  3.98 MBytes  66.7 Mbits/sec
[  1] 42.0000-42.5000 sec  7.89 MBytes   132 Mbits/sec
[  1] 42.5000-43.0000 sec  6.89 MBytes   116 Mbits/sec
[  1] 43.0000-43.5000 sec  8.09 MBytes   136 Mbits/sec
[  1] 43.5000-44.0000 sec  8.76 MBytes   147 Mbits/sec
[  1] 44.0000-44.5000 sec  4.04 MBytes  67.7 Mbits/sec
[  1] 44.5000-45.0000 sec  8.52 MBytes   143 Mbits/sec
[  1] 45.0000-45.5000 sec  8.76 MBytes   147 Mbits/sec
[  1] 45.5000-46.0000 sec  8.02 MBytes   135 Mbits/sec
[  1] 46.0000-46.5000 sec  4.60 MBytes  77.2 Mbits/sec
[  1] 46.5000-47.0000 sec  7.46 MBytes   125 Mbits/sec
[  1] 47.0000-47.5000 sec  7.70 MBytes   129 Mbits/sec
[  1] 47.5000-48.0000 sec  7.58 MBytes   127 Mbits/sec
[  1] 48.0000-48.5000 sec  7.45 MBytes   125 Mbits/sec
